## these data are from: ftp://ftp.ncbi.nih.gov/repository/UniGene/README
Aae:7159:Aedes aegypti
Afp:338618:Aquilegia formosa x Aquilegia pubescens
Aga:7165:Anopheles gambiae
Ame:7460:Apis mellifera
At:3702:Arabidopsis thaliana
Bfl:7739:Branchiostoma floridae
Bmo:7091:Bombyx mori
Bna:3708:Brassica napus
Bt:9913:Bos taurus
Cel:6239:Caenorhabditis elegans
Cfa:9615:Canis familiaris
Cin:7719:Ciona intestinalis
Cpo:199306:Coccidioides posadasii
Cre:3055:Chlamydomonas reinhardtii
Csa:51511:Ciona savignyi
Csi:2711:Citrus sinensis
Ddi:44689:Dictyostelium discoideum
Dm:7227:Drosophila melanogaster
Dr:7955:Danio rerio
Fhe:8078:Fundulus heteroclitus
Fne:5207:Filobasidiella neoformans
Gac:69293:Gasterosteus aculeatus
Gga:9031:Gallus gallus
Ghi:3635:Gossypium hirsutum
Gma:3847:Glycine max
Gmo:117187:Gibberella moniliformis
Gra:29730:Gossypium raimondii
Han:4232:Helianthus annuus
Hma:6085:Hydra magnipapillata
Hs:9606:Homo sapiens
Hv:4513:Hordeum vulgare
Lco:47247:Lotus corniculatus
Les:4081:Lycopersicon esculentum
Lsa:4236:Lactuca sativa
Mdo:3750:Malus x domestica
Mfa:9541:Macaca fascicularis
Mgr:148305:Magnaporthe grisea
Mm:10090:Mus musculus
Mmu:9544:Macaca mulatta
Mte:30286:Molgula tectiformis
Mtr:3880:Medicago truncatula
Ncr:5141:Neurospora crassa
Oar:9940:Ovis aries
Ocu:9986:Oryctolagus cuniculus
Ola:8090:Oryzias latipes
Omy:8022:Oncorhynchus mykiss
Os:4530:Oryza sativa
Pba:73824:Populus balsamifera
Pgl:3330:Picea glauca
Pin:4787:Phytophthora infestans
Ppa:3218:Physcomitrella patens
Psi:3332:Picea sitchensis
Pta:3352:Pinus taeda
Ptp:47664:Populus tremula x Populus tremuloides
Rn:10116:Rattus norvegicus
Sbi:4558:Sorghum bicolor
Sja:6182:Schistosoma japonicum
Sma:6183:Schistosoma mansoni
Sof:4547:Saccharum officinarum
Spu:7668:Strongylocentrotus purpuratus
Ssa:8030:Salmo salar
Ssc:9823:Sus scrofa
Str:8364:Xenopus tropicalis
Stu:4113:Solanum tuberosum
Ta:4565:Triticum aestivum
Tca:7070:Tribolium castaneum
Tgo:5811:Toxoplasma gondii
Tru:31033:Takifugu rubripes
Vvi:29760:Vitis vinifera
Xl:8355:Xenopus laevis
Zm:4577:Zea mays
